what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1353967179931
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1353967179931
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1353967179931
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1353967179931
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1353967179931
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1353967179931
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1353967179931
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1353967181351
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967199088
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967353949
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1353967356211
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967357225
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967360314
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967360329
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967364526
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1353967366335
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967368363
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967368816
opened,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353967371171
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1353967371998
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1353967372014
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967394418
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967394418
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967394574
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353967494711
