what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039401568
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039413674
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1354039413689
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039418260
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039421770
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039421770
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039425545
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039428213
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039428587
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1354039430584
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354039985900
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040044993
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1354040045009
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1354040046631
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1354040074602
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1354040075453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040075765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040088869
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040158898
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040160348
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040160364
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040164592
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1354040165309
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040167306
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354040167649
